id	viewCount	reason	thumbnail	image	url	use	published	updated	title	author	description	restrictedInDE	restrictionsAll	rating	category
9bZkp7q19f0	1141774731	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	http://i.ytimg.com/vi/9bZkp7q19f0/default.jpg	http://i.ytimg.com/vi/9bZkp7q19f0/hqdefault.jpg	http://www.youtube.com/watch?v=9bZkp7q19f0	true	2012-07-15T07:46:32.000Z	2013-01-07T16:44:32.000Z	PSY - GANGNAM STYLE (강남스타일) M/V	officialpsy	PSY - Gangnam Style (강남스타일) \n▶ NOW available on iTunes: http://Smarturl.it/psygangnam\n▶ Official PSY Online Store US & International : http://psy.shop.bravadousa.com/\n▶ About PSY from YG Ent.: http://smarturl.it/YGfamilyAboutPSY\n▶ PSY's Products on eBay: http://stores.ebay.com/ygentertainment\n▶ YG-eShop: http://www.ygeshop.com\n \nFor More Information @\nhttp://www.facebook.com/officialpsy\nhttp://twitter.com/psy_oppa\nhttp://twitter.com/ygent_official\nhttp://me2day.net/psyfive\nhttp://www.psypark.com\nApp Store: http://goo.gl/l9TU6\nGoogle Play: http://goo.gl/UiEn1\n\n© YG Entertainment Inc. All rights reserved.	true	DE	4.7000375	Music
kffacxfA7G4	819116844	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	http://i.ytimg.com/vi/kffacxfA7G4/default.jpg	http://i.ytimg.com/vi/kffacxfA7G4/hqdefault.jpg	http://www.youtube.com/watch?v=kffacxfA7G4	true	2010-02-19T08:11:38.000Z	2013-01-07T16:44:09.000Z	Justin Bieber - Baby ft. Ludacris	JustinBieberVEVO	Music video by Justin Bieber performing Baby feat. Ludacris.\n#VEVOCertified on April 25, 2010. http://www.youtube.com/vevocertified	true	DE	2.2495732	Music
t4H_Zoh7G5A	637870134	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	http://i.ytimg.com/vi/t4H_Zoh7G5A/default.jpg	http://i.ytimg.com/vi/t4H_Zoh7G5A/hqdefault.jpg	http://www.youtube.com/watch?v=t4H_Zoh7G5A	true	2011-03-04T01:13:27.000Z	2013-01-07T16:42:47.000Z	Jennifer Lopez - On The Floor ft. Pitbull	JenniferLopezVEVO	Music video by Jennifer Lopez performing On The Floor feat. Pitbull. © 2011 Island Records\n#VEVOCertified on April 15, 2012. http://www.vevo.com/certified http://www.youtube.com/vevocertified	true	DE	4.7052703	Music
uelHwf8o7_U	528967707	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	http://i.ytimg.com/vi/uelHwf8o7_U/default.jpg	http://i.ytimg.com/vi/uelHwf8o7_U/hqdefault.jpg	http://www.youtube.com/watch?v=uelHwf8o7_U	true	2010-08-05T18:30:09.000Z	2013-01-07T16:43:16.000Z	Eminem - Love The Way You Lie ft. Rihanna	EminemVEVO	Music video by Eminem performing Love The Way You Lie. © 2010 Aftermath Records\n#VEVOCertified on September 13, 2011. http://www.vevo.com/certified http://www.youtube.com/vevocertified	true	DE	4.870939	Music
KQ6zr6kCPj8	513338954	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	http://i.ytimg.com/vi/KQ6zr6kCPj8/default.jpg	http://i.ytimg.com/vi/KQ6zr6kCPj8/hqdefault.jpg	http://www.youtube.com/watch?v=KQ6zr6kCPj8	true	2011-03-09T05:30:54.000Z	2013-01-07T16:44:00.000Z	LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock	LMFAOVEVO	Buy now http://glnk.it/6t\nMusic video by LMFAO performing Party Rock Anthem featuring Lauren Bennett and GoonRock. (c) 2011 Interscope\n#VEVOCertified on July 1, 2011. http://www.vevo.com/certified http://www.youtube.com/vevocertified	true	DE	4.847076	Music
_OBlgSz8sSM	506188376	Wir haben deine Spracheinstellung festgelegt.	http://i.ytimg.com/vi/_OBlgSz8sSM/default.jpg	http://i.ytimg.com/vi/_OBlgSz8sSM/hqdefault.jpg	http://www.youtube.com/watch?v=_OBlgSz8sSM	true	2007-05-22T20:29:24.000Z	2013-01-07T16:36:50.000Z	Charlie bit my finger - again !	HDCYT	T-Shirts http://charliebitme.firebrandstore.com/\niPhone  http://itunes.apple.com/gb/app/charlie-bit-me!!!/id494858348?mt=8\nAndroid  https://play.google.com/store/apps/details?id=com.viralspiral.charlie \nEven had I thought of trying to get my boys to do this I probably couldn't have. Neither were coerced into any of this and neither were hurt (for very long anyway).  This was just one of those moments when I had the video camera out because the boys were being fun and they provided something really very funny.\n\nFAQ Harry is 8 3/4, Charlie is 6 1/2, Jasper is  4 1/4, Rupert is 1 1/2\n(November 2012)\n\nHarry and Charlie Blogging - Charlie Bit My Finger Again!\nhttp://harryandcharlie.blogspot.com/\n\nTwitter\nhttp://twitter.com/harryandcharlie	false		4.495037	Comedy
pRpeEdMmmQ0	505378455	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	http://i.ytimg.com/vi/pRpeEdMmmQ0/default.jpg	http://i.ytimg.com/vi/pRpeEdMmmQ0/hqdefault.jpg	http://www.youtube.com/watch?v=pRpeEdMmmQ0	true	2010-06-04T22:13:23.000Z	2013-01-07T16:42:57.000Z	Waka Waka (This Time for Africa) (The Official 2010 FIFA ...	shakiraVEVO	Music video by Shakira featuring Freshlyground performing Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song). (C) 2010 Sony Music Entertainment\n#VEVOCertified on July 15, 2010. http://www.vevo.com/certified http://www.youtube.com/vevocertified	true	DE	4.778769	Music
qrO4YZeyl0I	503459260	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	http://i.ytimg.com/vi/qrO4YZeyl0I/default.jpg	http://i.ytimg.com/vi/qrO4YZeyl0I/hqdefault.jpg	http://www.youtube.com/watch?v=qrO4YZeyl0I	true	2009-11-24T07:45:26.000Z	2013-01-07T16:41:37.000Z	Lady Gaga - Bad Romance	LadyGagaVEVO	Music video by Lady Gaga performing Bad Romance. (C) 2009 Interscope Records\n#VEVOCertified on January 31, 2010. http://www.vevo.com/certified http://www.youtube.com/vevocertified	true	DE	4.295359	Music
hcm55lU9knw	474042316	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	http://i.ytimg.com/vi/hcm55lU9knw/default.jpg	http://i.ytimg.com/vi/hcm55lU9knw/hqdefault.jpg	http://www.youtube.com/watch?v=hcm55lU9knw	true	2011-07-25T13:00:23.000Z	2013-01-07T16:43:37.000Z	Michel Teló - Ai Se Eu Te Pego - Oficial (Assim você me mata)	MichelTelo11	*** É Nóis Faze Parapapá ! http://youtu.be/TDbBkvVYN3s  - (NEW SINGLE)\n\nCurta a Fan Page de Michel Teló e fique por dentro das novidades e promoções https://www.facebook.com/MichelTelo\n\n\nNovo DVD Michel na Balada em todas as lojas, garanta já o seu!\nhttp://www.somlivre.com/\n\nNuevo DVD Michel Teló Na Balada en todas las tiendas , reserva ya el tuyo! http://www.somlivre.com/\n\nMichel na Balada's new DVD has all ready come out, reserve yours! http://www.somlivre.com/\n\nAcesse o site http://wwwmicheltelo.com.br \n\nConfira o vídeo OFICIAL do novo sucesso de Michel Teló AI SE EU TE PEGO!\n\nGravado no Wood's Bar\n\nDireçao:  Fernando Hiro e Junior Jacques	true	DE	4.644701	Music
7zp1TbLFPp8	416683862	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	http://i.ytimg.com/vi/7zp1TbLFPp8/default.jpg	http://i.ytimg.com/vi/7zp1TbLFPp8/hqdefault.jpg	http://www.youtube.com/watch?v=7zp1TbLFPp8	true	2010-08-11T20:28:22.000Z	2013-01-07T16:43:02.000Z	Don Omar - Danza Kuduro ft. Lucenzo	DonOmarVEVO	Music video by Don Omar performing Danza Kuduro. (C) 2010 Machete Music	true	DK,FR,BE,HU,DE,FI,MT,SE,SK,SI,BG,VA,GR,IT,EE,AT,GB,CZ,IE,CY,PT,NL,RO,LV,LU,LT,PL	4.7287025	Music
